long,lat,npp_mean,npp_flag
-17.2059669495,18.6089019775,3069.8016185759,0
-19.4537792206,18.8398361206,2259.24934100408,0
-17.3231964111,19.276720047,3166.307446392,0
-17.255033493,18.8524551392,3033.36431738694,0
-17.1472053528,19.1014823914,3322.72143467619,0
-19.2481174469,20.1958045959,2738.47760356042,0
-19.355682373,19.9445838928,2622.53361996114,0
-15.4202165604,28.1421871185,832.935162760966,1
-22.9725074768,23.4093608856,757.224302216139,0
-23.9164390564,23.4242324829,689.225854339159,0
-18.5241107941,27.692489624,675.684031220437,0
-15.4457702637,27.5147094727,872.731263067219,0
-16.3271942139,25.8331928253,950.168950133514,0
-17.2267494202,24.2199954987,1502.84199470113,0
-18.1574134827,22.4315109253,2364.12456251783,0
-18.1586036682,22.4292259216,2364.12456251783,0
-18.1589794159,22.4285049438,2364.12456251783,0
-18.1593837738,22.4277610779,2364.12456251783,0
-18.1598110199,22.4269866943,2364.12456251783,0
-18.1612205505,22.42436409,2364.12456251783,0
-19.9427051544,17.1535110474,1738.1659280995,0
-19.9429397583,17.1546325684,1738.1659280995,0
-20.2350482941,18.2973957062,2044.00408272251,0
-20.1019515991,18.2621440887,1950.92860312023,0
-20.3663978577,16.1462478638,1372.14328966515,0
-20.3452625275,16.2820167542,1358.19051062282,0
-20.2938137054,16.3750324249,1396.43444836874,0
-20.4509372711,16.6406669617,1535.30473595923,0
-20.50248909,16.3722991943,1389.67876813902,0
-20.5632476807,16.093963623,1336.78803125061,0
-20.6673679352,16.4621505737,1420.67675828288,0
-20.7933006287,16.0238552094,1430.79475613791,0
-20.8732833862,16.3540477753,1433.83141054581,0
-21.3341197968,15.1100387573,1248.85074892708,0
-21.3318099976,15.1318016052,1230.50229137626,0
-21.2941932678,15.2379112244,1212.84263322376,0
-21.0732135773,15.2969932556,1237.91810098457,0
-21.166179657,15.1197032928,1364.69854962667,0
-21.1669902802,15.1163187027,1364.69854962667,0
-21.1379241943,15.1829462051,1311.01355838517,0
-21.1234054565,15.2115135193,1311.01355838517,0
-21.1061019897,15.2427082062,1289.5898991606,0
-21.0615024567,15.3123464584,1240.41689594995,0
-21.0550098419,15.3952198029,1251.30275322566,0
-20.9231185913,15.0055265427,1248.19058802468,0
-20.893327713,15.1703252792,1322.29247446454,0
-23.4324207306,15.2079668045,1046.66931090008,0
-24.9975891113,16.8895282745,1242.21732489492,1
-19.6406860352,18.307554245,2053.1320920816,0
-18.9650707245,17.7664299011,2246.42325292494,0
-18.96525383,17.7643184662,2246.42325292494,0
-18.9652843475,17.7639503479,2246.42325292494,0
-18.9653491974,17.7630748749,2246.42325292494,0
-18.3258647919,16.5083675385,2331.70684178786,0
-17.5147342682,17.1057167053,2667.80595606705,0
-17.38256073,17.5092658997,2928.10608263547,0
-17.3832435608,17.5400981903,2928.10608263547,0
-17.3836784363,17.5716724396,2884.80839183212,0
-17.4147510529,17.5428142548,2930.41501974186,0
-17.3726787567,17.6471767426,2907.38683506039,0
-17.3635387421,17.6687984467,2907.38683506039,0
-17.3553390503,17.8291110992,2784.01854945387,0
-17.3517475128,17.8571472168,2743.41006639269,0
-17.3510932922,17.8894500732,2733.79567780002,0
